encuesta,encuestador,sexo,edad,entidad,facultad,turno,tipo_transporte,gasto_transporte,gasto_comida,presupuesto_semana,tiempo_transporte,actividad_transporte,cercania_transporte,numero_transporte,promedio,actividad_extra,tiempo_descanso,ausencia_recursos,fuente_ingresos,frecuencia_retardos,apoyo_transporte,impacto_transporte
1,3,2,19,10,3,2,1,4,1,1,3,3,1,1,4,2,4,2,1,2,2,2
2,16,1,19,14,3,3,1,1,1,2,3,1,1,2,2,2,4,2,1,3,1,1
3,8,1,20,17,3,2,3,1,3,4,3,1,1,1,3,2,4,2,1,1,4,2
4,16,1,19,10,3,2,1,1,4,4,3,2,2,2,2,2,4,2,2,2,1,1
5,47,1,23,4,10,3,1,1,5,4,1,2,1,2,3,2,2,2,1,1,1,2
6,47,2,22,5,10,3,1,1,4,2,3,3,1,1,4,2,3,2,1,4,1,1
7,47,2,25,14,10,2,1,1,2,4,4,2,1,3,2,2,2,1,1,4,1,1
8,37,2,22,7,9,2,3,3,4,4,4,2,1,4,3,2,3,2,3,4,1,1
9,13,2,25,4,3,3,3,4,4,4,1,4,1,1,4,2,3,2,1,1,1,2
10,42,1,19,14,10,1,1,1,1,1,5,2,3,3,2,2,2,2,1,4,1,1
11,42,1,18,10,10,3,3,3,4,1,5,2,1,4,1,2,1,2,1,4,1,1
12,42,1,18,7,10,1,4,3,3,4,2,3,1,1,3,1,3,2,1,2,1,1
13,7,1,24,15,1,1,4,3,1,4,2,3,1,1,2,1,4,2,1,1,1,2
14,7,1,22,15,2,3,4,3,5,4,2,1,1,1,4,1,4,2,1,2,1,2
15,7,1,23,4,1,3,4,4,1,3,1,1,1,1,2,1,4,2,1,1,1,2
16,7,1,25,10,1,3,4,2,1,2,3,1,1,1,1,1,4,1,2,1,1,1
17,7,1,22,8,5,1,1,1,1,2,5,2,1,2,1,1,4,2,1,4,1,1
18,7,1,22,10,5,2,3,4,2,2,3,1,2,2,4,1,3,2,1,1,4,1
19,7,1,19,1,3,1,3,1,1,4,4,1,1,2,3,1,4,2,1,1,1,1
20,44,1,21,3,9,1,4,2,3,1,1,1,2,1,4,2,3,2,1,1,1,2
21,15,1,23,10,3,2,4,2,1,2,2,1,1,1,2,1,4,2,1,4,1,1
22,13,2,25,14,3,2,1,1,2,2,4,1,1,2,3,2,3,2,1,4,1,2
23,42,1,22,7,11,3,1,1,1,2,3,4,1,2,3,2,1,2,1,4,1,1
24,42,1,19,4,11,3,3,4,5,4,1,3,1,1,3,1,3,2,1,4,1,2
25,14,2,22,14,2,1,1,4,1,1,2,1,1,2,3,2,3,2,1,4,2,2
26,14,2,26,15,2,1,3,4,3,2,2,1,1,2,2,2,1,2,1,1,1,1
27,14,2,28,10,2,3,1,1,5,4,3,4,1,1,3,2,2,2,1,4,2,2
28,42,2,19,7,11,3,1,2,3,4,5,1,1,2,2,1,4,2,1,4,1,1
29,42,2,20,3,11,1,1,1,4,2,4,2,3,3,2,2,1,1,1,2,2,1
30,1,2,20,15,5,3,3,1,4,4,2,2,1,2,3,2,3,2,1,2,1,2
31,1,2,21,17,5,3,3,3,5,4,4,2,2,2,4,1,3,2,1,2,1,2
32,14,1,42,10,2,3,1,1,1,4,2,4,1,4,3,2,3,2,2,2,1,2
33,1,1,24,2,5,3,1,4,3,4,3,4,1,4,4,2,3,2,1,3,1,2
34,42,2,19,17,11,3,3,2,1,3,2,2,2,2,3,2,3,2,1,2,1,2
35,14,2,29,5,2,3,2,1,3,4,2,1,2,1,3,1,2,2,2,1,4,2
36,14,2,40,16,2,3,1,4,4,4,2,1,1,2,4,1,3,2,2,4,1,2
37,1,2,22,3,5,3,4,3,4,4,3,1,2,1,4,1,4,2,1,3,1,2
38,42,1,21,4,8,3,1,4,5,4,1,1,1,1,4,1,1,2,1,1,2,2
39,1,2,19,11,5,3,3,1,4,4,2,2,2,2,2,2,3,2,1,3,2,2
40,42,1,22,9,8,3,4,3,2,1,2,2,2,1,3,2,3,2,1,1,1,2
41,42,1,21,8,8,1,1,1,5,4,3,3,1,2,3,2,4,2,1,2,1,1
